  Window      H      V      T    H∩V    H∩T    V∩T    H∩V∩T
-----------------------------------------------------------
    10ms     27     20     26      5      5      2        8
    20ms     18     14     22      3      2      2        7
    30ms     15     12     21      4      6      1        3
    40ms     11     11     13      2      2      1        2
    50ms     14     21     11      2      3      1        4
    60ms     10      7     14      1      1      3        3
    70ms     10     10      7      1      0      1        3
    80ms     13      7      6      1      2      2        2
    90ms      6      5      9      0      1      0        3
   100ms     15      5      5      2      0      1        1
