rec_id,gesture,n_representations_wrong
1,rock,0
13,rock,0
20,rock,0
21,rock,0
34,rock,0
43,rock,0
48,rock,0
49,rock,0
50,rock,0
52,rock,0
53,rock,0
54,rock,0
58,rock,0
71,rock,3
80,rock,0
87,rock,0
88,rock,0
91,rock,0
99,rock,0
102,rock,0
105,rock,0
106,rock,2
121,rock,0
130,rock,0
134,rock,0
149,rock,0
151,rock,0
160,rock,0
161,rock,0
166,rock,0
169,rock,0
174,rock,0
187,rock,2
188,rock,1
189,rock,0
190,rock,0
191,rock,0
201,rock,0
205,rock,0
207,rock,0
212,rock,0
214,rock,0
217,rock,0
235,rock,0
236,rock,0
241,rock,0
243,rock,0
251,rock,1
252,rock,0
257,rock,0
259,rock,0
263,rock,0
264,rock,2
270,rock,0
273,rock,0
276,rock,1
278,rock,0
292,rock,0
293,rock,0
307,rock,0
311,rock,0
314,rock,1
318,rock,0
319,rock,1
324,paper,0
332,paper,0
337,paper,0
339,paper,0
345,paper,1
355,paper,0
358,paper,0
366,paper,0
370,paper,0
372,paper,0
373,paper,3
377,paper,0
379,paper,0
382,paper,0
411,paper,0
414,paper,0
418,paper,0
420,paper,0
422,paper,0
423,paper,0
425,paper,1
427,paper,0
433,paper,0
435,paper,0
443,paper,0
444,paper,0
446,paper,0
447,paper,0
461,paper,0
462,paper,3
463,paper,0
469,paper,0
470,paper,0
472,paper,0
474,paper,0
477,paper,0
480,paper,1
489,paper,2
492,paper,0
493,paper,0
495,paper,2
499,paper,0
505,paper,2
507,paper,0
509,paper,0
510,paper,1
515,paper,0
534,paper,0
542,paper,0
565,paper,0
566,paper,0
572,paper,0
575,paper,2
581,paper,0
583,paper,0
590,paper,0
592,paper,0
599,paper,0
600,paper,0
606,paper,0
607,paper,0
613,paper,0
626,paper,0
627,paper,0
640,scissor,0
644,scissor,0
645,scissor,0
647,scissor,0
649,scissor,0
662,scissor,0
667,scissor,0
673,scissor,0
674,scissor,0
680,scissor,0
685,scissor,0
690,scissor,0
692,scissor,0
702,scissor,0
704,scissor,0
711,scissor,0
717,scissor,1
721,scissor,0
722,scissor,0
724,scissor,0
729,scissor,0
734,scissor,0
737,scissor,0
738,scissor,0
744,scissor,0
758,scissor,0
761,scissor,0
772,scissor,0
775,scissor,0
784,scissor,0
785,scissor,0
795,scissor,1
803,scissor,0
804,scissor,1
812,scissor,0
816,scissor,0
817,scissor,2
825,scissor,0
831,scissor,1
836,scissor,1
840,scissor,2
841,scissor,1
844,scissor,0
851,scissor,0
856,scissor,1
859,scissor,0
863,scissor,0
867,scissor,0
878,scissor,0
879,scissor,0
881,scissor,0
890,scissor,0
892,scissor,0
895,scissor,0
898,scissor,0
906,scissor,2
911,scissor,1
921,scissor,0
923,scissor,0
925,scissor,0
928,scissor,0
935,scissor,2
945,scissor,0
949,scissor,0
