representation,window_ms,Q_statistic,df,p_value,significant_0.05,acc_tau0ms,acc_tau20ms,acc_tau40ms,acc_tau60ms,acc_tau80ms,acc_tau100ms
histogram,10,15.7018,5,0.007749,True,95.83,96.88,94.79,93.75,99.48,92.19
histogram,20,12.4731,5,0.02885,True,93.23,96.88,97.4,95.83,99.48,96.35
histogram,30,11.1929,5,0.047687,True,95.83,97.4,94.79,93.23,98.96,96.35
histogram,40,17.1429,5,0.004237,True,95.83,98.96,97.92,94.27,100.0,97.4
histogram,50,5.5405,5,0.353521,False,95.83,98.96,96.88,96.88,96.35,98.44
histogram,60,11.3793,5,0.044357,True,94.27,99.48,97.92,95.83,97.92,95.83
histogram,70,30.4658,5,1.2e-05,True,97.92,98.96,98.96,91.67,99.48,95.83
histogram,80,17.7528,5,0.003273,True,94.27,96.88,98.96,94.27,100.0,95.83
histogram,90,3.0909,5,0.685973,False,97.92,97.92,98.44,96.35,98.44,97.4
histogram,100,37.9389,5,0.0,True,87.5,96.35,100.0,96.35,96.88,93.75
voxel,10,9.4382,5,0.092811,False,95.83,98.96,94.27,96.88,97.4,94.79
voxel,20,14.6835,5,0.011804,True,96.88,98.44,97.92,95.83,99.48,93.75
voxel,30,22.0248,5,0.000518,True,98.44,98.96,94.79,94.79,100.0,97.92
voxel,40,14.6124,5,0.012153,True,94.79,98.96,97.4,96.35,100.0,97.4
voxel,50,25.0427,5,0.000137,True,93.23,97.4,98.44,90.62,98.96,95.31
voxel,60,22.9167,5,0.00035,True,95.31,100.0,96.88,96.88,100.0,99.48
voxel,70,13.4667,5,0.019377,True,94.27,100.0,96.88,96.35,97.92,97.92
voxel,80,13.6066,5,0.018312,True,97.4,100.0,96.88,95.31,99.48,97.4
voxel,90,17.4242,5,0.003762,True,97.4,100.0,98.44,95.31,100.0,97.92
voxel,100,12.4757,5,0.02882,True,98.96,99.48,97.4,95.83,99.48,96.88
timesurface,10,8.5593,5,0.127986,False,95.83,96.35,92.71,93.75,97.92,96.35
timesurface,20,17.0874,5,0.004337,True,96.35,97.92,94.79,96.35,99.48,92.19
timesurface,30,22.963,5,0.000343,True,94.27,91.15,96.88,98.96,98.96,95.83
timesurface,40,6.8293,5,0.233651,False,95.83,96.35,95.83,97.92,99.48,96.88
timesurface,50,10.102,5,0.072395,False,96.88,97.4,95.31,95.83,100.0,97.4
timesurface,60,11.1878,5,0.04778,True,95.83,95.83,95.83,94.27,98.96,98.96
timesurface,70,10.8696,5,0.054028,False,96.88,97.4,97.92,96.88,100.0,99.48
timesurface,80,7.3529,5,0.195687,False,95.31,98.44,96.88,95.83,98.96,97.4
timesurface,90,6.5116,5,0.259566,False,97.4,94.27,96.35,96.35,98.44,97.4
timesurface,100,9.6875,5,0.08459,False,97.92,96.35,98.44,95.31,97.92,99.48
