representation,window_ms,n_correct,n_total,accuracy,ci_lower,ci_upper
histogram,10,165,192,85.9375,80.3131,90.1521
histogram,20,174,192,90.625,85.6688,93.9875
histogram,30,177,192,92.1875,87.5114,95.2086
histogram,40,181,192,94.2708,90.0338,96.7711
histogram,50,178,192,92.7083,88.1341,95.6071
histogram,60,182,192,94.7917,90.6795,97.1467
histogram,70,182,192,94.7917,90.6795,97.1467
histogram,80,179,192,93.2292,88.7617,96.0007
histogram,90,186,192,96.875,93.351,98.5601
histogram,100,177,192,92.1875,87.5114,95.2086
voxel,10,172,192,89.5833,84.4587,93.1551
voxel,20,178,192,92.7083,88.1341,95.6071
voxel,30,180,192,93.75,89.3947,96.3889
voxel,40,181,192,94.2708,90.0338,96.7711
voxel,50,171,192,89.0625,83.8584,92.7341
voxel,60,185,192,96.3542,92.6669,98.2229
voxel,70,182,192,94.7917,90.6795,97.1467
voxel,80,185,192,96.3542,92.6669,98.2229
voxel,90,187,192,97.3958,94.0497,98.8826
voxel,100,187,192,97.3958,94.0497,98.8826
timesurface,10,166,192,86.4583,80.8979,90.5885
timesurface,20,170,192,88.5417,83.2611,92.3103
timesurface,30,171,192,89.0625,83.8584,92.7341
timesurface,40,179,192,93.2292,88.7617,96.0007
timesurface,50,181,192,94.2708,90.0338,96.7711
timesurface,60,178,192,92.7083,88.1341,95.6071
timesurface,70,185,192,96.3542,92.6669,98.2229
timesurface,80,186,192,96.875,93.351,98.5601
timesurface,90,183,192,95.3125,91.3328,97.5146
timesurface,100,187,192,97.3958,94.0497,98.8826
